"name","ticker","start.date","asset.class","category","gross.expense.ratio","shareholder.fees","fod"
"TARGETRETIREMENT2010","TODO","01/02/2008","Blended Fund Investments","Target Date","0.11%","No additional fees apply.","Domestic"
"TARGETRETIREMENT2015","TODO","01/02/2008","Blended Fund Investments","Target Date","0.12%","No additional fees apply.","Domestic"
"TARGETRETIREMENT2020","TODO","01/02/2008","Blended Fund Investments","Target Date","0.11%","No additional fees apply.","Domestic"
"TARGETRETIREMENT2025","TODO","01/02/2008","Blended Fund Investments","Target Date","0.11%","No additional fees apply.","Domestic"
"TARGETRETIREMENT2030","TODO","01/02/2008","Blended Fund Investments","Target Date","0.11%","No additional fees apply.","Domestic"
"TARGETRETIREMENT2035","TODO","01/02/2008","Blended Fund Investments","Target Date","0.11%","No additional fees apply.","Domestic"
"TARGETRETIREMENT2040","TODO","01/02/2008","Blended Fund Investments","Target Date","0.11%","No additional fees apply.","Domestic"
"TARGETRETIREMENT2045","TODO","01/02/2008","Blended Fund Investments","Target Date","0.11%","No additional fees apply.","Domestic"
"TARGETRETIREMENT2050","TODO","01/02/2008","Blended Fund Investments","Target Date","0.11%","No additional fees apply.","Domestic"
"TARGETRETIREMENT2055","TODO","06/30/2015","Blended Fund Investments","Target Date","0.11%","No additional fees apply.","Domestic"
"AGGRESSIVE","TODO","08/01/1996","Blended Fund Investments","Target Risk","0.11%","No additional fees apply.","Domestic"
"CONSERVATIVE","TODO","08/01/1996","Blended Fund Investments","Target Risk","0.14%","No additional fees apply.","Domestic"
"INCOME PLUS","TODO","08/01/1996","Blended Fund Investments","Target Risk","0.15%","No additional fees apply.","Domestic"
"MODERATE","TODO","04/01/1993","Blended Fund Investments","Target Risk","0.12%","No additional fees apply.","Domestic"
"INFL PROTECTED BOND","IPE","07/01/2000","Bond Investments","Bonds","0.03%","No additional fees apply.","Domestic"
"INTEREST INCOME FUND","TODO","07/01/1985","Bond Investments","Bonds","0.37%","No additional fees apply.","Domestic"
"TOTAL BOND MARKET","AGG","05/01/1996","Bond Investments","Bonds","0.06%","No additional fees apply.","Domestic"
"HI YLD EMG MKT BOND","HYG","07/01/2004","Bond Investments","High Yield Bond","0.4%","No additional fees apply. (HYG approx)","Foreign"
"TOTAL STOCK MKT IDX","^RUA","07/01/2000","Stock Investments","Domestic Stocks","0.03%","No additional fees apply.","Domestic"
"INTL STOCK MKT IDX","ACWX","04/01/1993","Stock Investments","International Stocks","0.09%","No additional fees apply.","Foreign"
"GLOBAL RE STOCK IDX","^RMZ","03/31/2016","Stock Investments","Global Real Estate","0.11%","No additional fees apply. (^RMZ approx)","Foreign"
"LONG-TERM CORP BOND","LWC","07/01/2000","Bond Investments","Bonds","0.05%","No additional fees apply. (LWC approx)","Domestic"
"LARGE COMPANY IDX","^GSPC","05/01/1982","Stock Investments","Large-Cap Stocks","0.03%","No additional fees apply. ","Domestic"
"LARGE-CAP GROWTH IDX","^RLG","07/01/2000","Stock Investments","Large-Cap Stocks","0.04%","No additional fees apply.","Domestic"
"LARGE-CAP VALUE IDX","^RLV","07/01/2000","Stock Investments","Large-Cap Stocks","0.04%","No additional fees apply.","Domestic"
"SMALL/MID-CAP IDX","RSCO","04/01/1990","Stock Investments","Mid-Cap Stocks","0.04%","No additional fees apply.","Domestic"
"SMALL-CAP GROWTH IDX","IWO","07/01/2000","Stock Investments","Small-Cap Stocks","0.05%","No additional fees apply.","Domestic"
"SMALL-CAP VALUE IDX","IWN","07/01/2000","Stock Investments","Small-Cap Stocks","0.05%","No additional fees apply.","Domestic"
"EUROPEAN STOCK IDX","IEUR","07/01/2000","Stock Investments","International Stocks","0.07%","No additional fees apply.","Foreign"
"PACIFIC STOCK IDX","IPAC","07/01/2000","Stock Investments","International Stocks","0.08%","No additional fees apply.","Foreign"
